Date,Miles
7/4/14,43.5
7/5/14,1.85
7/10/14,80.75
7/15/14,6.2
7/16/14,0.3
7/22/14,1.9
7/25/14,37.3
8/3/14,4.55
8/4/14,61.3
8/9/14,47.95
8/11/14,48.85
8/11/14,59.6
8/14/14,55.8
8/14/14,78.95
8/15/14,62.6
8/16/14,28.25
8/18/14,61.05
8/18/14,62
8/19/14,58.6
8/21/14,62.15
8/24/14,21.3
8/26/14,25.6
8/28/14,23
9/1/14,71.85
9/2/14,35.1
9/6/14,24.25
9/8/14,83.65
9/9/14,74.8
9/11/14,7.65
9/18/14,79.7
9/19/14,52.25
9/20/14,14.75
9/20/14,41.7
9/22/14,72.55
9/22/14,96.55
9/23/14,98.9
9/27/14,36.3
9/27/14,54.25
9/29/14,83.25
9/29/14,20.8
9/30/14,64.4
10/4/14,77.85
10/7/14,62.2
10/14/14,83.7
10/15/14,29.4
10/16/14,54.15
10/22/14,36.45
10/22/14,52.5
10/25/14,24.1
10/27/14,53.8
11/1/14,63.8
11/6/14,18.25
11/6/14,45.35
11/7/14,33.75
11/8/14,45.1
11/17/14,87.35
11/17/14,8.7
11/18/14,16.7
11/20/14,25.15
11/22/14,15.5
11/23/14,59.15
11/24/14,17.25
11/26/14,57.4
11/28/14,10.4
12/1/14,99.35
12/1/14,40.7
12/2/14,63.95
12/2/14,7.7
12/3/14,64.5
12/4/14,47.55
12/6/14,57.9
12/7/14,59.55
12/7/14,70.4
12/8/14,75.85
12/12/14,17.2
12/12/14,48.1
12/14/14,69.4
12/15/14,84.85
12/17/14,87.9
12/17/14,50.4
12/17/14,85.6
12/19/14,53.8
12/24/14,45.8
12/25/14,73.2
12/26/14,26.2
1/1/15,33.5
1/7/15,37.35
1/12/15,79.15
1/15/15,86.8
1/17/15,77.7
1/18/15,84.45
1/19/15,99.25
1/22/15,93.75
1/24/15,23.9
1/24/15,94.8
1/27/15,29.9
1/30/15,72.95
2/3/15,92.25
2/5/15,8.2
2/9/15,15.9
2/12/15,48.9
2/12/15,46.05
2/13/15,41.45
2/13/15,68.35
2/17/15,62.65
2/18/15,17.15
2/20/15,86.1
2/20/15,64.9
2/24/15,29.05
2/25/15,45.45
2/27/15,42.5
2/27/15,27.55
2/27/15,23.05
2/28/15,65.55
2/28/15,77.45
2/28/15,73.65
3/2/15,19.05
