Date,Miles
6/4/18,85
6/6/18,37
6/6/18,5
6/7/18,39
6/9/18,24
6/9/18,75
6/9/18,45
6/11/18,44
6/13/18,18
6/14/18,88
6/14/18,90
6/16/18,52
6/19/18,91
6/21/18,96
6/21/18,9
6/21/18,22
6/23/18,45
6/23/18,49
6/24/18,35
6/26/18,96
6/27/18,67
6/27/18,68
6/28/18,26
6/29/18,3
6/29/18,87
7/3/18,21
7/3/18,80
7/7/18,38
7/7/18,15
7/8/18,35
7/8/18,31
7/9/18,86
7/9/18,91
7/9/18,85
7/11/18,97
7/11/18,27
7/11/18,38
7/12/18,92
7/13/18,27
7/13/18,42
7/13/18,76
7/13/18,59
7/15/18,19
7/16/18,93
7/16/18,97
7/16/18,85
7/17/18,69
7/18/18,67
7/18/18,17
7/20/18,17
7/20/18,49
7/22/18,3
7/22/18,85
7/23/18,22
7/25/18,34
7/28/18,30
7/28/18,10
7/29/18,99
7/29/18,98
7/30/18,86
7/31/18,15
7/31/18,8
8/1/18,25
8/1/18,57
8/1/18,49
8/2/18,78
8/3/18,47
8/3/18,94
8/3/18,8
8/4/18,38
8/8/18,57
8/9/18,75
8/9/18,75
8/10/18,26
8/11/18,73
8/13/18,10
8/15/18,38
8/15/18,100
8/16/18,32
8/16/18,66
8/18/18,52
8/18/18,55
8/18/18,46
8/18/18,52
8/18/18,37
8/19/18,78
8/21/18,93
8/23/18,58
8/23/18,62
8/25/18,21
8/26/18,93
8/27/18,1
8/29/18,5
8/31/18,57
9/3/18,84
9/4/18,4
9/4/18,88
9/5/18,31
9/5/18,20
9/6/18,91
9/7/18,14
9/7/18,92
9/8/18,9
9/8/18,62
9/9/18,29
9/10/18,51
9/10/18,3
9/14/18,61
9/14/18,98
9/15/18,11
9/15/18,36
9/16/18,16
9/16/18,34
9/17/18,42
9/22/18,28
9/23/18,93
9/23/18,88
9/23/18,20
9/24/18,18
9/25/18,98
9/26/18,58
9/27/18,65
9/29/18,91
9/29/18,38
9/29/18,43
10/1/18,82
10/1/18,36
10/1/18,53
10/2/18,36
10/3/18,16
10/3/18,88
10/4/18,55
10/5/18,14
10/6/18,55
10/7/18,66
10/9/18,51
10/9/18,66
10/10/18,88
10/11/18,43
10/11/18,70
10/15/18,53
10/17/18,67
10/18/18,21
10/20/18,18
10/21/18,40
10/21/18,76
10/21/18,6
10/25/18,72
10/26/18,88
10/27/18,64
10/27/18,30
10/28/18,13
10/30/18,41
10/30/18,77
10/31/18,54
11/3/18,14
11/3/18,64
11/4/18,29
11/5/18,47
11/8/18,40
11/10/18,22
11/11/18,39
11/14/18,48
11/14/18,38
11/18/18,73
11/19/18,36
11/20/18,68
11/21/18,97
11/21/18,27
11/22/18,49
11/22/18,9
11/22/18,73
11/23/18,34
11/24/18,73
11/24/18,49
11/26/18,47
11/26/18,87
11/26/18,29
11/27/18,65
11/28/18,57
11/28/18,21
11/29/18,96
11/30/18,34
12/1/18,11
12/2/18,8
12/3/18,50
12/3/18,56
12/4/18,69
12/7/18,14
12/7/18,59
12/9/18,40
12/16/18,4
12/17/18,24
12/18/18,31
12/19/18,76
12/20/18,72
12/22/18,8
12/22/18,29
12/24/18,51
12/24/18,16
12/24/18,72
12/25/18,9
12/25/18,67
12/28/18,81
12/28/18,85
12/28/18,100
12/30/18,10
12/31/18,16
1/2/19,82
1/2/19,63
1/2/19,4
1/3/19,89
1/3/19,30
1/5/19,92
1/8/19,93
1/9/19,51
1/10/19,17
1/11/19,43
1/12/19,59
1/13/19,14
1/14/19,75
1/14/19,86
1/16/19,7
1/17/19,74
1/17/19,90
1/19/19,48
1/19/19,82
1/21/19,7
1/21/19,66
1/23/19,10
1/25/19,31
1/25/19,71
1/25/19,54
1/26/19,1
1/31/19,91
1/31/19,99
1/31/19,16
2/1/19,74
2/1/19,2
2/1/19,90
2/2/19,12
2/4/19,62
2/5/19,50
